,Case ID,Activity,Complete Timestamp
0,3004646,01_HOOFD_010-complete,2010/10/04 00:00:00.000
20,3004646,01_HOOFD_030_2-complete,2010/10/06 00:00:00.000
21,3004646,01_HOOFD_015-complete,2010/10/25 14:28:53.000
23,3004646,01_HOOFD_130-complete,2010/11/02 10:15:30.000
24,3004646,01_HOOFD_170-complete,2010/11/02 10:15:34.000
25,3004646,01_HOOFD_060-complete,2010/10/25 14:29:57.000
26,3004646,01_HOOFD_040-complete,2010/10/25 14:29:32.000
27,3004646,01_HOOFD_050-complete,2010/10/25 14:29:38.000
28,3004646,01_HOOFD_055-complete,2010/10/25 14:29:52.000
29,3004646,01_HOOFD_120-complete,2010/10/25 14:31:23.000
30,3004646,01_HOOFD_130-complete,2010/10/25 14:31:29.000
31,3004646,01_HOOFD_170-complete,2010/10/25 14:31:34.000
32,3004646,01_HOOFD_200-complete,2010/10/25 14:31:39.000
33,3004646,01_HOOFD_065_1-complete,2010/10/25 14:30:04.000
34,3004646,01_HOOFD_100-complete,2010/10/25 14:30:22.000
35,3004646,01_HOOFD_110-complete,2010/10/25 14:30:34.000
19,3004646,08_AWB45_010-complete,2010/10/25 14:32:21.000
18,3004646,01_HOOFD_200-complete,2010/11/02 10:15:37.000
22,3004646,08_AWB45_020_1-complete,2010/11/02 10:14:31.000
16,3004646,08_AWB45_170-complete,2010/11/02 10:15:22.000
1,3004646,01_HOOFD_110-complete,2010/11/02 10:15:25.000
2,3004646,01_HOOFD_120-complete,2010/11/02 10:15:26.000
3,3004646,08_AWB45_030-complete,2010/11/02 10:14:44.000
4,3004646,01_HOOFD_020-complete,2010/10/25 14:29:03.000
17,3004646,01_HOOFD_030_1-complete,2010/10/25 14:29:12.000
6,3004646,01_HOOFD_265-complete,2010/11/02 10:15:40.000
7,3004646,01_HOOFD_205-complete,2010/11/02 10:15:37.000
8,3004646,01_HOOFD_250-complete,2010/11/02 10:15:39.000
5,3004646,01_HOOFD_260-complete,2010/11/02 10:15:40.000
10,3004646,01_HOOFD_380-complete,2010/11/02 10:15:54.000
11,3004646,01_HOOFD_430-complete,2010/11/02 10:16:00.000
12,3004646,01_HOOFD_470-complete,2010/11/02 10:16:03.000
13,3004646,01_HOOFD_480-complete,2010/11/02 10:16:06.000
14,3004646,01_HOOFD_270-complete,2010/11/02 10:15:45.000
15,3004646,09_AH_I_010-complete,2010/11/02 10:15:49.000
9,3004646,01_HOOFD_370-complete,2010/11/02 10:15:50.000
46,3007101,01_HOOFD_050-complete,2010/10/11 10:23:22.000
53,3007101,01_HOOFD_060-complete,2010/10/11 10:23:52.000
52,3007101,01_HOOFD_010-complete,2010/10/04 00:00:00.000
51,3007101,01_HOOFD_065_1-complete,2010/10/11 11:02:01.000
50,3007101,01_HOOFD_065_2-complete,2010/10/11 00:00:00.000
49,3007101,01_HOOFD_015-complete,2010/10/11 10:22:02.000
48,3007101,01_HOOFD_020-complete,2010/10/11 10:22:15.000
47,3007101,01_HOOFD_040-complete,2010/10/11 10:22:51.000
45,3007101,01_HOOFD_055-complete,2010/10/11 10:23:44.000
36,3007101,01_HOOFD_120-complete,2010/10/25 14:40:00.000
43,3007101,01_HOOFD_130-complete,2010/10/25 14:40:08.000
42,3007101,01_HOOFD_170-complete,2010/10/25 14:40:11.000
41,3007101,01_HOOFD_200-complete,2010/10/25 14:40:48.000
