,Case ID,Activity,Complete Timestamp
0,2742737,23,2011-06-01 08:00:00
1,2742737,25,2011-06-16 20:17:11
7,2760925,23,2010-10-05 08:00:00
8,2760925,25,2010-10-07 22:57:14
47,2771451,56,2010-10-19 08:00:00
46,2771451,27,2010-12-01 01:22:26
45,2771451,248,2010-11-22 09:00:00
44,2771451,56,2010-11-26 09:00:00
43,2771451,48,2010-12-01 19:53:14
38,2771451,23,2010-10-06 08:00:00
41,2771451,73,2010-12-01 19:54:08
40,2771451,245,2010-11-18 09:00:00
48,2771451,41,2010-11-25 09:00:00
37,2771451,36,2010-11-24 09:00:00
42,2771451,26,2010-12-01 01:22:02
49,2771451,244,2010-12-01 01:54:10
53,2771451,189,2010-12-01 01:51:49
51,2771451,242,2010-12-01 01:54:00
52,2771451,35,2010-12-01 01:50:30
36,2771451,202,2010-12-01 01:50:50
54,2771451,47,2010-12-01 01:52:23
55,2771451,48,2010-12-01 01:52:28
56,2771451,53,2010-12-01 01:53:02
57,2771451,55,2010-12-01 01:53:04
58,2771451,66,2010-12-01 01:53:24
59,2771451,32,2010-12-01 01:50:14
60,2771451,49,2010-12-01 01:51:22
61,2771451,30,2010-12-01 01:51:36
50,2771451,41,2010-12-01 01:50:56
35,2771451,84,2010-12-01 19:54:19
39,2771451,29,2010-12-01 01:22:44
33,2771451,110,2010-12-01 19:54:45
9,2771451,47,2010-12-01 19:53:11
10,2771451,278,2010-12-01 19:54:17
11,2771451,83,2010-12-01 19:54:19
12,2771451,75,2010-12-01 19:54:05
34,2771451,25,2010-12-01 01:21:56
14,2771451,49,2010-12-01 19:53:03
15,2771451,28,2010-11-18 09:00:00
16,2771451,53,2010-12-01 19:53:19
17,2771451,67,2010-12-01 19:54:00
18,2771451,66,2010-12-01 19:54:00
19,2771451,74,2010-12-01 19:54:12
20,2771451,55,2010-12-01 19:53:21
13,2771451,247,2010-12-01 01:55:36
22,2771451,274,2010-12-01 19:52:59
23,2771451,85,2010-12-01 19:54:22
24,2771451,92,2010-12-01 19:54:39
25,2771451,136,2010-12-06 09:00:00
26,2771451,114,2010-12-06 18:06:21
27,2771451,131,2010-12-06 18:09:03
28,2771451,134,2010-12-06 19:00:26
29,2771451,143,2010-12-06 19:03:59
30,2771451,145,2010-12-15 09:00:00
31,2771451,111,2010-12-01 19:54:47
32,2771451,113,2010-12-01 19:54:47
21,2771451,116,2010-12-06 09:00:00
89,2782209,49,2010-11-15 18:04:27
88,2782209,26,2010-10-12 17:56:10
87,2782209,47,2010-11-15 18:03:28
