,Case ID,Activity,Complete Timestamp
0,2,1,2012-04-03 16:55:38
3,3,1,2010-10-29 18:14:06
4,3,8,2010-11-04 01:16:11
5,3,6,2010-11-04 01:21:17
6,4,1,2010-12-15 23:31:53
7,4,8,2010-12-16 17:01:07
13,5,6,2012-04-04 00:07:28
11,5,6,2012-04-03 21:47:22
12,5,8,2012-04-03 22:15:02
9,5,1,2012-04-03 21:08:32
14,6,1,2011-10-25 23:13:58
15,6,8,2011-10-25 23:58:55
16,6,6,2011-10-26 17:54:46
17,8,1,2012-07-05 16:30:32
18,8,8,2012-07-05 17:25:45
19,8,6,2012-07-05 17:44:46
23,9,8,2010-05-24 18:26:28
20,9,6,2010-05-25 23:35:44
21,9,3,2010-05-07 21:02:21
22,9,1,2010-05-07 21:02:34
26,10,1,2010-02-10 17:50:20
25,10,8,2010-03-19 17:47:06
24,10,6,2010-03-19 17:47:13
27,11,1,2011-12-22 00:24:41
28,11,8,2011-12-22 00:25:34
29,11,6,2011-12-22 18:55:43
30,14,1,2011-07-05 21:47:08
31,14,8,2011-07-05 21:47:22
32,14,6,2011-07-05 21:52:37
33,16,1,2012-02-22 23:16:52
34,16,8,2012-02-23 01:14:07
35,16,8,2012-02-23 01:23:57
39,17,1,2011-10-14 15:10:47
38,17,8,2011-11-03 01:17:52
37,17,6,2011-11-09 22:31:37
40,19,1,2010-07-07 15:54:04
43,21,1,2011-01-15 00:15:21
44,21,8,2011-01-27 17:06:37
45,21,6,2011-01-27 19:19:15
46,22,1,2012-07-23 15:49:04
47,22,8,2012-07-23 15:49:14
48,22,9,2012-07-23 16:51:59
49,22,6,2012-08-27 18:05:23
51,24,1,2010-04-27 17:49:56
52,24,8,2010-06-08 19:06:56
50,24,6,2010-06-08 22:46:16
53,25,1,2010-12-30 18:27:17
54,25,8,2010-12-30 22:14:04
55,25,6,2010-12-31 00:16:35
56,26,1,2011-03-31 15:28:47
57,26,8,2011-03-31 15:31:59
58,26,9,2011-03-31 16:39:41
59,26,8,2011-03-31 19:00:28
60,26,6,2011-03-31 19:00:41
63,27,1,2011-11-24 23:02:16
61,27,8,2011-11-24 23:02:35
65,29,1,2012-07-30 18:07:32
66,29,8,2012-07-30 18:07:40
64,29,6,2012-07-30 20:29:40
67,30,1,2011-01-21 18:47:20
68,30,8,2011-02-07 18:19:45
69,30,6,2011-02-10 18:01:20
70,32,1,2011-04-27 15:38:44
71,32,8,2011-04-27 20:46:13
72,32,6,2011-04-28 16:18:08
74,35,1,2012-01-18 17:15:30
73,35,6,2012-01-18 18:46:37
77,36,1,2011-06-29 18:06:48
83,37,1,2011-02-10 20:13:07
84,37,8,2011-02-10 20:13:33
85,37,6,2011-02-11 00:20:02
82,37,6,2011-03-02 22:23:58
78,37,8,2011-03-02 22:24:07
80,37,9,2011-03-03 00:27:52
79,37,8,2011-03-04 18:37:50
86,38,1,2012-03-20 16:57:45
87,38,8,2012-03-20 16:58:15
88,38,6,2012-03-20 17:18:56
89,40,1,2012-08-09 20:13:03
94,41,1,2010-12-14 19:44:26
92,41,8,2010-12-14 19:44:57
95,42,1,2011-06-16 20:23:39
96,42,8,2011-06-16 20:51:05
97,42,6,2011-06-16 21:39:51
100,43,1,2012-04-10 16:56:32
98,43,8,2012-04-10 17:27:27
99,43,6,2012-04-10 18:53:28
102,44,1,2010-11-30 01:09:19
103,44,8,2010-11-30 01:19:59
101,44,6,2010-11-30 01:20:51
105,45,1,2012-01-20 23:08:14
106,45,8,2012-01-25 20:46:19
107,47,1,2011-05-25 17:48:18
108,47,8,2011-05-25 17:48:43
109,47,6,2011-05-30 23:04:34
110,48,3,2010-12-01 22:42:59
111,48,1,2010-12-02 23:07:33
112,48,8,2010-12-02 23:07:41
113,48,6,2010-12-02 23:08:33
117,49,9,2011-11-29 23:47:35
114,49,6,2011-12-03 01:25:57
115,49,1,2011-11-25 23:33:54
116,49,8,2011-11-25 23:47:48
121,50,8,2012-01-16 19:59:51
120,50,1,2012-01-16 19:53:01
118,50,6,2012-01-17 01:37:55
119,50,6,2012-01-17 01:37:54
122,51,1,2012-06-13 21:55:36
123,51,8,2012-06-14 15:07:06
124,51,9,2012-06-15 15:16:27
125,51,6,2012-07-02 17:41:04
127,52,1,2012-07-26 23:18:26
126,52,8,2012-07-26 23:18:35
128,52,6,2012-07-27 18:46:28
133,53,8,2010-10-15 21:02:36
134,53,1,2010-10-14 21:53:13
132,53,9,2010-10-28 23:12:55
131,53,9,2010-10-28 23:12:55
130,53,6,2010-11-04 17:48:12
129,53,8,2010-10-29 21:42:01
135,55,1,2011-10-26 23:51:42
136,55,8,2011-11-01 00:19:03
137,55,9,2011-11-07 17:44:52
138,55,6,2011-11-21 17:21:23
139,56,1,2012-01-30 20:32:58
141,57,1,2010-10-29 17:39:23
142,57,8,2010-11-02 23:56:13
143,57,6,2010-11-03 00:39:05
147,59,1,2012-03-28 20:28:37
146,59,8,2012-03-28 20:28:47
148,60,1,2011-04-06 23:35:49
149,60,8,2011-04-06 23:36:04
153,61,1,2011-09-16 15:04:39
154,61,8,2011-09-16 15:18:12
155,61,6,2011-09-16 23:04:46
156,62,1,2012-05-28 23:16:47
157,62,6,2012-05-28 23:18:27
159,64,9,2011-04-27 18:30:13
163,64,1,2011-04-14 23:54:28
164,64,8,2011-05-06 17:42:13
162,64,6,2011-05-06 17:42:28
158,64,8,2011-04-27 18:30:04
160,64,1,2011-04-14 23:54:46
161,64,9,2011-04-15 18:41:19
165,66,1,2012-06-26 16:46:53
166,66,8,2012-06-26 16:47:39
167,66,6,2012-06-26 21:05:58
168,67,1,2010-12-31 00:03:15
169,67,8,2011-01-11 17:40:08
170,67,6,2011-01-13 20:45:18
171,68,1,2012-04-11 22:09:22
172,68,8,2012-04-11 22:09:45
173,68,6,2012-04-12 18:31:37
177,70,8,2011-06-07 15:35:14
176,70,1,2011-06-07 15:34:53
174,70,6,2011-07-12 15:00:36
175,70,9,2011-07-08 16:44:58
178,71,1,2011-11-02 17:20:14
179,71,8,2011-11-02 17:20:41
180,71,6,2011-11-02 18:49:41
181,72,1,2011-01-25 22:15:31
182,72,8,2011-01-25 22:15:58
183,72,6,2011-02-14 20:48:42
184,73,1,2012-07-31 19:01:15
185,73,6,2012-07-31 19:02:02
186,74,6,2012-02-10 20:42:26
187,75,1,2010-03-12 00:15:54
191,76,1,2012-01-11 00:01:36
192,76,6,2012-01-11 00:58:08
193,78,1,2011-11-08 18:18:10
194,78,8,2011-11-08 18:22:35
195,78,6,2011-12-06 01:33:12
197,80,1,2012-08-02 17:22:58
198,80,8,2012-08-03 20:12:15
196,80,6,2012-08-10 18:13:48
199,81,1,2010-02-09 17:31:47
200,81,8,2010-02-09 17:35:12
201,81,9,2010-02-09 17:35:26
202,81,9,2010-02-09 17:36:27
203,81,8,2010-02-19 17:31:40
204,81,6,2010-02-19 17:32:00
205,84,1,2010-12-10 18:15:54
206,84,8,2010-12-10 18:16:17
207,84,6,2010-12-10 18:16:34
