,Case ID,Activity,Complete Timestamp
0,1-364285768,Accepted+In Progress,2010/03/31 16:59:42.000
16,1-364285768,Accepted+Assigned,2012/04/11 17:11:25.000
15,1-364285768,Accepted+In Progress,2012/04/11 17:11:17.000
14,1-364285768,Completed+Closed,2012/05/11 01:26:15.000
13,1-364285768,Completed+Resolved,2012/05/03 11:10:12.000
11,1-364285768,Accepted+Assigned,2010/04/20 11:07:19.000
10,1-364285768,Accepted+In Progress,2010/04/20 11:07:11.000
9,1-364285768,Queued+Awaiting Assignment,2010/04/08 12:53:35.000
12,1-364285768,Accepted+In Progress,2012/05/03 11:10:10.000
7,1-364285768,Queued+Awaiting Assignment,2010/04/06 16:45:07.000
6,1-364285768,Completed+Resolved,2010/04/06 16:44:51.000
5,1-364285768,Accepted+In Progress,2010/04/06 16:44:47.000
4,1-364285768,Queued+Awaiting Assignment,2010/03/31 17:45:48.000
3,1-364285768,Accepted+In Progress,2010/03/31 17:00:56.000
2,1-364285768,Accepted+In Progress,2010/04/08 12:52:23.000
1,1-364285768,Queued+Awaiting Assignment,2010/04/06 16:44:38.000
8,1-364285768,Accepted+In Progress,2010/04/06 16:44:07.000
45,1-467153946,Accepted+Wait,2011/04/07 14:06:06.000
44,1-467153946,Accepted+In Progress,2012/05/15 17:56:51.000
43,1-467153946,Accepted+In Progress,2011/04/08 14:10:59.000
39,1-467153946,Accepted+In Progress,2011/04/12 15:16:47.000
41,1-467153946,Accepted+In Progress,2011/04/07 13:36:47.000
40,1-467153946,Accepted+In Progress,2011/04/06 10:32:07.000
46,1-467153946,Accepted+In Progress,2011/04/06 11:48:33.000
42,1-467153946,Queued+Awaiting Assignment,2011/04/08 14:20:00.000
47,1-467153946,Accepted+In Progress,2011/08/08 15:28:38.000
55,1-467153946,Completed+Resolved,2012/05/15 17:57:39.000
49,1-467153946,Accepted+In Progress,2011/11/21 13:52:19.000
50,1-467153946,Accepted+Wait - Implementation,2011/11/21 13:52:57.000
51,1-467153946,Queued+Awaiting Assignment,2012/01/25 15:50:41.000
52,1-467153946,Accepted+In Progress,2012/01/25 15:53:07.000
53,1-467153946,Queued+Awaiting Assignment,2012/01/25 15:54:00.000
54,1-467153946,Accepted+Assigned,2011/09/12 11:22:38.000
38,1-467153946,Accepted+Wait - User,2011/04/06 12:08:47.000
56,1-467153946,Completed+Closed,2012/05/23 01:22:25.000
48,1-467153946,Accepted+Wait,2011/04/08 14:17:44.000
37,1-467153946,Accepted+Assigned,2011/04/06 11:47:50.000
32,1-467153946,Accepted+In Progress,2011/04/05 17:59:52.000
35,1-467153946,Accepted+In Progress,2011/01/31 11:18:44.000
17,1-467153946,Accepted+Wait - Implementation,2011/02/07 12:38:25.000
18,1-467153946,Accepted+Assigned,2011/03/14 07:56:20.000
19,1-467153946,Queued+Awaiting Assignment,2011/01/31 11:19:05.000
20,1-467153946,Accepted+In Progress,2011/02/07 12:37:33.000
21,1-467153946,Accepted+Wait - User,2011/01/31 14:37:55.000
36,1-467153946,Accepted+In Progress,2011/03/14 07:58:01.000
23,1-467153946,Accepted+In Progress,2011/01/31 12:59:46.000
24,1-467153946,Accepted+In Progress,2011/01/31 11:12:22.000
25,1-467153946,Accepted+In Progress,2011/03/09 11:08:06.000
22,1-467153946,Queued+Awaiting Assignment,2011/04/05 18:02:01.000
27,1-467153946,Accepted+In Progress,2011/03/10 11:53:10.000
28,1-467153946,Accepted+Assigned,2011/03/10 11:53:22.000
29,1-467153946,Accepted+In Progress,2011/03/10 12:17:22.000
30,1-467153946,Accepted+Wait - User,2011/03/10 12:21:51.000
31,1-467153946,Accepted+Wait,2011/03/10 14:45:27.000
33,1-467153946,Queued+Awaiting Assignment,2011/02/03 08:28:58.000
34,1-467153946,Accepted+Wait,2011/03/14 07:58:55.000
26,1-467153946,Accepted+Wait - Implementation,2011/03/09 11:27:05.000
67,1-503573772,Accepted+In Progress,2012/04/03 15:29:44.000
