average_trace_fitness,discovered_pt,generalization,log_fitness,metricsAverageWeight,noise,perc_fit_traces,precision,simplicity,time_run_inductive_and_evaluate,time_ttc,tree,tree_size,type
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.0,100.0,1.0,0.4,0.0026340484619140625,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.0,100.0,1.0,0.4,0.0028390884399414067,0.0335087776184082,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.05,100.0,1.0,0.5,0.0029675960540771484,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.05,100.0,1.0,0.4,0.0035729408264160156,0.03620576858520508,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.1,100.0,1.0,0.5,0.0027618408203125,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.1,100.0,1.0,0.4,0.002720832824707031,0.04076409339904785,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.15000000000000002,100.0,1.0,0.5,0.004476070404052734,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.15,100.0,1.0,0.4,0.003113985061645508,0.03946185111999512,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.2,100.0,1.0,0.5,0.0031108856201171875,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.2,100.0,1.0,0.4,0.002839803695678711,0.035544633865356445,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.25,100.0,1.0,0.5,0.003270864486694336,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, PZQ6D5 )",0.9,1.0,0.825,0.25,100.0,1.0,0.4,0.003034830093383789,0.035075902938842766,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.30000000000000004,100.0,1.0,0.5,0.003152132034301758,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.3,100.0,1.0,0.5,0.002976894378662109,0.0469818115234375,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.35000000000000003,100.0,1.0,0.5,0.003155231475830078,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.35,100.0,1.0,0.5,0.0032949447631835933,0.03768587112426758,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.4,100.0,1.0,0.5,0.003314971923828125,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.4,100.0,1.0,0.5,0.0030350685119628906,0.036707162857055664,"->( I0XW8P, PZQ6D5 )",3,ttc
1.0,"->( I0XW8P, X( PZQ6D5, τ ) )",0.6000000000000001,1.0,0.775,0.45,100.0,1.0,0.5,0.003397941589355469,0.0,"->( I0XW8P, PZQ6D5 )",3,classic
