,feature,id,metric_accuracy_score,metric_auc,metric_confusion_matrix,metric_f1_score,metric_log_loss,metric_matthews_corrcoef,metric_precision_score,metric_recall_score,metric_roc_auc_score,metric_roc_curve,model,noise,params,path,time_to_build_and_train_model,time_to_build_feature,time_to_make_prediction
102,BaseLine,af5dd290-17c8-4ac5-9544-e93f99e315d3,0.9194144268957236,0.0,"[[     0      0][ 10470 119454]]",0.9580155426701632,,0.0,1.0,0.9194144268957236,,"(array([nan, nan, nan]), array([0.        , 0.91941443, 1.        ]), array([2, 1, 0]))",Xgboost,0.0,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,3.5787315368652344,0.2116410732269287,0.3340027332305908
104,FrequencyBased,95fd91f8-c81e-4725-aca1-ee05e9df9949,0.9949431975616514,10011.5,"[[  9998    185][   472 119269]]",0.9972532870670372,0.17465690724562846,0.9655525283439124,0.9984512866877626,0.9960581588595384,0.9889453123670175,"(array([0.        , 0.01816753, 1.        ]), array([0.        , 0.99605816, 1.        ]), array([2, 1, 0]))",Xgboost,0.0,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,3.736284255981445,2.904412269592285,0.23842811584472656
105,FrequencyBasedandLastActivity,9bc83450-0952-4711-a9af-a11ce18eb88b,0.9952202826267664,10020.5,"[[ 10017    168][   453 119286]]",0.997403770177221,0.16508662351534695,0.967447637451981,0.9985936008840224,0.9962167714779646,0.9898609630585699,"(array([0.        , 0.01649485, 1.        ]), array([0.        , 0.99621677, 1.        ]), array([2, 1, 0]))",Xgboost,0.0,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,5.6105732917785645,2.910700798034668,0.38078808784484863
103,LastActivity,cd830f2b-e3cb-48eb-815b-9d6f492c9f05,0.983559619469844,9727.5,"[[  9077    743][  1393 118711]]",0.9910835789245194,0.5678351996584154,0.8863551667394555,0.9937800324811225,0.988401718510624,0.9563699020251694,"(array([0.        , 0.07566191, 1.        ]), array([0.        , 0.98840172, 1.        ]), array([2, 1, 0]))",Xgboost,0.0,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,5.1613500118255615,0.2173142433166504,0.410351037979126
13,Sequence3D,8f1d5ebb-0971-4912-a20a-a1598c6c999c,0.987769773,10011.5,"[[ 10008   1127][   462 118327]]",0.993330339,0.422424008,0.920308102,0.990565406,0.996110751,0.947449179,"(array([0.        , 0.10121239, 1.        ]), array([0.        , 0.99611075, 1.        ]), array([2, 1, 0]))",LstmSigmoid,0.0,"{'n_cells': 16, 'epoch': 100, 'batch_size': 16}",BPI_12.csv,1885.703734,2.679486036,48.30467081
12,Sequence3D,b04e4a3c-52e1-430f-9728-022d145c6a1b,0.980388535,10008.5,"[[ 10000   2078][   470 117376]]",0.989262537,0.677368799,0.879000583,0.982604182,0.996011744,0.911981696,"(array([0.        , 0.17204835, 1.        ]), array([0.        , 0.99601174, 1.        ]), array([2, 1, 0]))",LstmSoftmax,0.0,"{'n_cells': 16, 'epoch': 100, 'batch_size': 16}",BPI_12.csv,1059.599388,2.692586422,49.1181109
106,BaseLine,fd7d5651-de0f-4b72-8037-568994b7d577,0.9153652148608012,0.0,"[[     0      0][ 10470 113238]]",0.9558127168215544,,0.0,1.0,0.9153652148608012,,"(array([nan, nan, nan]), array([0.        , 0.91536521, 1.        ]), array([2, 1, 0]))",Xgboost,0.1,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,3.4005813598632812,0.19873666763305664,0.2901322841644287
108,FrequencyBased,dca8bebc-1b21-4c5d-b7e9-e9084e4f537e,0.9890629546997768,9235.0,"[[  9292    175][  1178 113063]]",0.994052198224891,0.3777532931731542,0.9275938396130744,0.9984545823840054,0.9896884656121708,0.9856016005044058,"(array([0.        , 0.01848526, 1.        ]), array([0.        , 0.98968847, 1.        ]), array([2, 1, 0]))",Xgboost,0.1,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,4.56281304359436,2.8290112018585205,0.3510925769805908
109,FrequencyBasedandLastActivity,4eae8b6e-9bf9-44e2-862e-beb7f22663c2,0.989353962556989,9254.5,"[[  9318    165][  1152 113073]]",0.99421004734836,0.3677021732278709,0.9295662969291684,0.9985428919620624,0.9899146421536441,0.9862575425257306,"(array([0.        , 0.01739956, 1.        ]), array([0.        , 0.98991464, 1.        ]), array([2, 1, 0]))",Xgboost,0.1,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,6.749142169952393,2.837780475616455,0.5097415447235107
107,LastActivity,3d89f00a-e5e2-4ade-9a32-cde476bd1a3e,0.9780693245384292,8985.5,"[[  8458    701][  2012 112537]]",0.9880897505125402,0.7574632269310907,0.8521771653056207,0.9938094985782158,0.9824354642991208,0.9529493622401816,"(array([0.        , 0.07653674, 1.        ]), array([0.        , 0.98243546, 1.        ]), array([2, 1, 0]))",Xgboost,0.1,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,5.097580909729004,0.20771551132202148,0.5077505111694336
15,Sequence3D,05a588e0-90a0-4041-a86c-bec507f940f9,0.978077408,9199.0,"[[  9265   1507][  1205 111731]]",0.988009232,0.757189241,0.860444352,0.986691747,0.98933024,0.92471525,"(array([0.        , 0.13989974, 1.        ]), array([0.        , 0.98933024, 1.        ]), array([2, 1, 0]))",LstmSigmoid,0.1,"{'n_cells': 16, 'epoch': 100, 'batch_size': 16}",BPI_12.csv,1793.374753,2.619051933,46.76064587
14,Sequence3D,82efe36a-22be-451c-b74d-8c5bba4b88a6,0.961506127,5722.0,"[[  5762     54][  4708 113184]]",0.979396876,1.32953161,0.723044716,0.999523128,0.960065144,0.975390206,"(array([0.        , 0.00928473, 1.        ]), array([0.        , 0.96006514, 1.        ]), array([2, 1, 0]))",LstmSoftmax,0.1,"{'n_cells': 16, 'epoch': 100, 'batch_size': 16}",BPI_12.csv,757.2394149,2.750199795,47.99128509
110,BaseLine,274f2eb5-64ff-41e9-a33b-673f48e8ecea,0.906511179369955,0.0,"[[     0      0][ 10470 101522]]",0.950963402868196,,0.0,1.0,0.906511179369955,,"(array([nan, nan, nan]), array([0.        , 0.90651118, 1.        ]), array([2, 1, 0]))",Xgboost,0.2,"{'n_estimators': 200, 'max_depth': 8}",BPI_12.csv,3.1047921180725098,0.17876505851745605,0.2723674774169922
